stage,eval_index,tuned_param,candidate_value,epoch,epsilon,alpha,gamma,n_episodes,min_distance,best_episode,note
phase_setup,,epsilon,,,,,,,,,"Phase 1 fixed alpha=0.3496, gamma=0.8106"
HPO_epsilon,1,epsilon,0.05,1,0.05,0.35,0.81,200,23635.0,101,
HPO_epsilon,2,epsilon,0.05,2,0.05,0.35,0.81,200,22475.0,109,
HPO_epsilon,3,epsilon,0.05,3,0.05,0.35,0.81,200,22650.0,95,
HPO_epsilon,4,epsilon,0.05,4,0.05,0.35,0.81,200,21820.0,106,
HPO_epsilon,5,epsilon,0.05,5,0.05,0.35,0.81,200,23930.0,103,
HPO_epsilon,6,epsilon,0.25,1,0.25,0.35,0.81,200,21755.0,106,
HPO_epsilon,7,epsilon,0.25,2,0.25,0.35,0.81,200,24515.0,110,
HPO_epsilon,8,epsilon,0.25,3,0.25,0.35,0.81,200,23995.0,139,
HPO_epsilon,9,epsilon,0.25,4,0.25,0.35,0.81,200,23860.0,120,
HPO_epsilon,10,epsilon,0.25,5,0.25,0.35,0.81,200,23840.0,98,
HPO_epsilon,11,epsilon,0.45,1,0.45,0.35,0.81,200,25795.0,181,
HPO_epsilon,12,epsilon,0.45,2,0.45,0.35,0.81,200,24860.0,159,
HPO_epsilon,13,epsilon,0.45,3,0.45,0.35,0.81,200,25695.0,156,
HPO_epsilon,14,epsilon,0.45,4,0.45,0.35,0.81,200,25730.0,148,
HPO_epsilon,15,epsilon,0.45,5,0.45,0.35,0.81,200,25670.0,146,
HPO_epsilon,16,epsilon,0.65,1,0.65,0.35,0.81,200,28100.0,190,
HPO_epsilon,17,epsilon,0.65,2,0.65,0.35,0.81,200,27165.0,152,
HPO_epsilon,18,epsilon,0.65,3,0.65,0.35,0.81,200,27295.0,139,
HPO_epsilon,19,epsilon,0.65,4,0.65,0.35,0.81,200,27320.0,160,
HPO_epsilon,20,epsilon,0.65,5,0.65,0.35,0.81,200,27845.0,192,
HPO_epsilon,21,epsilon,0.85,1,0.85,0.35,0.81,200,27615.0,175,
HPO_epsilon,22,epsilon,0.85,2,0.85,0.35,0.81,200,28550.0,38,
HPO_epsilon,23,epsilon,0.85,3,0.85,0.35,0.81,200,28475.0,176,
HPO_epsilon,24,epsilon,0.85,4,0.85,0.35,0.81,200,29185.0,49,
