stage,eval_index,tuned_param,candidate_value,epoch,epsilon,alpha,gamma,n_episodes,min_distance,best_episode,note
phase_setup,,epsilon,,,,,,,,,"Phase 1 fixed alpha=0.3496, gamma=0.8106"
HPO_epsilon,1,epsilon,0.05,1,0.05,0.35,0.81,200,60.0,71,
HPO_epsilon,2,epsilon,0.05,2,0.05,0.35,0.81,200,60.0,157,
HPO_epsilon,3,epsilon,0.05,3,0.05,0.35,0.81,200,60.0,163,
HPO_epsilon,4,epsilon,0.05,4,0.05,0.35,0.81,200,60.0,146,
HPO_epsilon,5,epsilon,0.05,5,0.05,0.35,0.81,200,57.0,23,
HPO_epsilon,6,epsilon,0.25,1,0.25,0.35,0.81,200,60.0,186,
HPO_epsilon,7,epsilon,0.25,2,0.25,0.35,0.81,200,57.0,20,
HPO_epsilon,8,epsilon,0.25,3,0.25,0.35,0.81,200,60.0,23,
HPO_epsilon,9,epsilon,0.25,4,0.25,0.35,0.81,200,62.0,36,
HPO_epsilon,10,epsilon,0.25,5,0.25,0.35,0.81,200,60.0,23,
HPO_epsilon,11,epsilon,0.45,1,0.45,0.35,0.81,200,64.0,99,
HPO_epsilon,12,epsilon,0.45,2,0.45,0.35,0.81,200,61.0,78,
HPO_epsilon,13,epsilon,0.45,3,0.45,0.35,0.81,200,68.0,54,
HPO_epsilon,14,epsilon,0.45,4,0.45,0.35,0.81,200,57.0,64,
HPO_epsilon,15,epsilon,0.45,5,0.45,0.35,0.81,200,60.0,91,
HPO_epsilon,16,epsilon,0.65,1,0.65,0.35,0.81,200,58.0,189,
HPO_epsilon,17,epsilon,0.65,2,0.65,0.35,0.81,200,72.0,194,
HPO_epsilon,18,epsilon,0.65,3,0.65,0.35,0.81,200,62.0,175,
HPO_epsilon,19,epsilon,0.65,4,0.65,0.35,0.81,200,66.0,100,
HPO_epsilon,20,epsilon,0.65,5,0.65,0.35,0.81,200,72.0,71,
HPO_epsilon,21,epsilon,0.85,1,0.85,0.35,0.81,200,74.0,81,
HPO_epsilon,22,epsilon,0.85,2,0.85,0.35,0.81,200,84.0,154,
HPO_epsilon,23,epsilon,0.85,3,0.85,0.35,0.81,200,76.0,107,
HPO_epsilon,24,epsilon,0.85,4,0.85,0.35,0.81,200,74.0,127,
HPO_epsilon,25,epsilon,0.85,5,0.85,0.35,0.81,200,74.0,186,
recommendation,,epsilon,,,,,,,,,"recommended epsilon set = [0.05, 0.25, 0.45, 0.65]"
phase_setup,,alpha,,,,,,,,,"Phase 2 fixed epsilon=0.4680, gamma=0.3879"
HPO_alpha,26,alpha,0.05,1,0.47,0.05,0.39,200,58.0,55,
HPO_alpha,27,alpha,0.05,2,0.47,0.05,0.39,200,57.0,38,
HPO_alpha,28,alpha,0.05,3,0.47,0.05,0.39,200,62.0,195,
HPO_alpha,29,alpha,0.05,4,0.47,0.05,0.39,200,60.0,191,
HPO_alpha,30,alpha,0.05,5,0.47,0.05,0.39,200,60.0,129,
HPO_alpha,31,alpha,0.25,1,0.47,0.25,0.39,200,66.0,168,
HPO_alpha,32,alpha,0.25,2,0.47,0.25,0.39,200,60.0,158,
HPO_alpha,33,alpha,0.25,3,0.47,0.25,0.39,200,60.0,140,
HPO_alpha,34,alpha,0.25,4,0.47,0.25,0.39,200,55.0,76,
HPO_alpha,35,alpha,0.25,5,0.47,0.25,0.39,200,60.0,164,
HPO_alpha,36,alpha,0.45,1,0.47,0.45,0.39,200,64.0,95,
HPO_alpha,37,alpha,0.45,2,0.47,0.45,0.39,200,62.0,160,
HPO_alpha,38,alpha,0.45,3,0.47,0.45,0.39,200,57.0,199,
HPO_alpha,39,alpha,0.45,4,0.47,0.45,0.39,200,60.0,122,
HPO_alpha,40,alpha,0.45,5,0.47,0.45,0.39,200,61.0,85,
HPO_alpha,41,alpha,0.65,1,0.47,0.65,0.39,200,61.0,166,
HPO_alpha,42,alpha,0.65,2,0.47,0.65,0.39,200,58.0,30,
HPO_alpha,43,alpha,0.65,3,0.47,0.65,0.39,200,60.0,59,
HPO_alpha,44,alpha,0.65,4,0.47,0.65,0.39,200,60.0,83,
HPO_alpha,45,alpha,0.65,5,0.47,0.65,0.39,200,55.0,83,
HPO_alpha,46,alpha,0.85,1,0.47,0.85,0.39,200,66.0,124,
HPO_alpha,47,alpha,0.85,2,0.47,0.85,0.39,200,65.0,26,
HPO_alpha,48,alpha,0.85,3,0.47,0.85,0.39,200,63.0,149,
HPO_alpha,49,alpha,0.85,4,0.47,0.85,0.39,200,62.0,193,
HPO_alpha,50,alpha,0.85,5,0.47,0.85,0.39,200,69.0,123,
recommendation,,alpha,,,,,,,,,"recommended alpha set = [0.05, 0.25, 0.45, 0.65]"
phase_setup,,gamma,,,,,,,,,"Phase 3 fixed epsilon=0.5150, alpha=0.2874"
HPO_gamma,51,gamma,0.05,1,0.52,0.29,0.05,200,61.0,111,
HPO_gamma,52,gamma,0.05,2,0.52,0.29,0.05,200,60.0,78,
HPO_gamma,53,gamma,0.05,3,0.52,0.29,0.05,200,58.0,116,
HPO_gamma,54,gamma,0.05,4,0.52,0.29,0.05,200,57.0,110,
HPO_gamma,55,gamma,0.05,5,0.52,0.29,0.05,200,57.0,108,
HPO_gamma,56,gamma,0.25,1,0.52,0.29,0.25,200,60.0,88,
HPO_gamma,57,gamma,0.25,2,0.52,0.29,0.25,200,63.0,45,
HPO_gamma,58,gamma,0.25,3,0.52,0.29,0.25,200,70.0,165,
HPO_gamma,59,gamma,0.25,4,0.52,0.29,0.25,200,58.0,195,
HPO_gamma,60,gamma,0.25,5,0.52,0.29,0.25,200,60.0,183,
HPO_gamma,61,gamma,0.45,1,0.52,0.29,0.45,200,60.0,62,
HPO_gamma,62,gamma,0.45,2,0.52,0.29,0.45,200,60.0,174,
HPO_gamma,63,gamma,0.45,3,0.52,0.29,0.45,200,66.0,29,
HPO_gamma,64,gamma,0.45,4,0.52,0.29,0.45,200,66.0,65,
