stage,eval_index,tuned_param,candidate_value,epoch,epsilon,alpha,gamma,n_episodes,min_distance,best_episode,note
phase_setup,,epsilon,,,,,,,,,"Phase 1 fixed alpha=0.3496, gamma=0.8106"
HPO_epsilon,1,epsilon,0.05,1,0.05,0.35,0.81,200,63756.0,97,
HPO_epsilon,2,epsilon,0.05,2,0.05,0.35,0.81,200,63995.0,115,
HPO_epsilon,3,epsilon,0.05,3,0.05,0.35,0.81,200,64792.0,186,
HPO_epsilon,4,epsilon,0.05,4,0.05,0.35,0.81,200,62780.0,188,
HPO_epsilon,5,epsilon,0.05,5,0.05,0.35,0.81,200,65440.0,123,
HPO_epsilon,6,epsilon,0.25,1,0.25,0.35,0.81,200,64125.0,125,
HPO_epsilon,7,epsilon,0.25,2,0.25,0.35,0.81,200,64941.0,149,
HPO_epsilon,8,epsilon,0.25,3,0.25,0.35,0.81,200,62957.0,121,
HPO_epsilon,9,epsilon,0.25,4,0.25,0.35,0.81,200,64682.0,63,
HPO_epsilon,10,epsilon,0.25,5,0.25,0.35,0.81,200,64771.0,51,
HPO_epsilon,11,epsilon,0.45,1,0.45,0.35,0.81,200,65317.0,183,
HPO_epsilon,12,epsilon,0.45,2,0.45,0.35,0.81,200,65251.0,176,
HPO_epsilon,13,epsilon,0.45,3,0.45,0.35,0.81,200,65855.0,151,
HPO_epsilon,14,epsilon,0.45,4,0.45,0.35,0.81,200,64213.0,75,
HPO_epsilon,15,epsilon,0.45,5,0.45,0.35,0.81,200,66966.0,108,
HPO_epsilon,16,epsilon,0.65,1,0.65,0.35,0.81,200,66446.0,167,
HPO_epsilon,17,epsilon,0.65,2,0.65,0.35,0.81,200,66812.0,65,
HPO_epsilon,18,epsilon,0.65,3,0.65,0.35,0.81,200,65330.0,61,
HPO_epsilon,19,epsilon,0.65,4,0.65,0.35,0.81,200,66524.0,164,
HPO_epsilon,20,epsilon,0.65,5,0.65,0.35,0.81,200,66841.0,91,
HPO_epsilon,21,epsilon,0.85,1,0.85,0.35,0.81,200,67927.0,66,
HPO_epsilon,22,epsilon,0.85,2,0.85,0.35,0.81,200,67281.0,142,
HPO_epsilon,23,epsilon,0.85,3,0.85,0.35,0.81,200,66896.0,152,
HPO_epsilon,24,epsilon,0.85,4,0.85,0.35,0.81,200,67534.0,172,
HPO_epsilon,25,epsilon,0.85,5,0.85,0.35,0.81,200,67797.0,3,
recommendation,,epsilon,,,,,,,,,"recommended epsilon set = [0.05, 0.25]"
