stage,eval_index,tuned_param,candidate_value,epoch,epsilon,alpha,gamma,n_episodes,min_distance,best_episode,note
phase_setup,,epsilon,,,,,,,,,"Phase 1 fixed alpha=0.3496, gamma=0.8106"
HPO_epsilon,1,epsilon,0.05,1,0.05,0.35,0.81,200,93945.0,132,
HPO_epsilon,2,epsilon,0.05,2,0.05,0.35,0.81,200,94507.0,146,
HPO_epsilon,3,epsilon,0.05,3,0.05,0.35,0.81,200,93757.0,133,
HPO_epsilon,4,epsilon,0.05,4,0.05,0.35,0.81,200,90478.0,137,
HPO_epsilon,5,epsilon,0.05,5,0.05,0.35,0.81,200,98434.0,131,
HPO_epsilon,6,epsilon,0.25,1,0.25,0.35,0.81,200,110109.0,134,
HPO_epsilon,7,epsilon,0.25,2,0.25,0.35,0.81,200,109381.0,141,
HPO_epsilon,8,epsilon,0.25,3,0.25,0.35,0.81,200,107109.0,135,
HPO_epsilon,9,epsilon,0.25,4,0.25,0.35,0.81,200,110242.0,135,
HPO_epsilon,10,epsilon,0.25,5,0.25,0.35,0.81,200,114347.0,130,
HPO_epsilon,11,epsilon,0.45,1,0.45,0.35,0.81,200,128854.0,165,
HPO_epsilon,12,epsilon,0.45,2,0.45,0.35,0.81,200,130566.0,171,
HPO_epsilon,13,epsilon,0.45,3,0.45,0.35,0.81,200,122425.0,154,
HPO_epsilon,14,epsilon,0.45,4,0.45,0.35,0.81,200,125780.0,150,
HPO_epsilon,15,epsilon,0.45,5,0.45,0.35,0.81,200,126263.0,138,
HPO_epsilon,16,epsilon,0.65,1,0.65,0.35,0.81,200,140764.0,189,
HPO_epsilon,17,epsilon,0.65,2,0.65,0.35,0.81,200,140944.0,171,
HPO_epsilon,18,epsilon,0.65,3,0.65,0.35,0.81,200,141789.0,177,
HPO_epsilon,19,epsilon,0.65,4,0.65,0.35,0.81,200,142040.0,183,
HPO_epsilon,20,epsilon,0.65,5,0.65,0.35,0.81,200,147120.0,194,
HPO_epsilon,21,epsilon,0.85,1,0.85,0.35,0.81,200,168897.0,60,
HPO_epsilon,22,epsilon,0.85,2,0.85,0.35,0.81,200,166802.0,178,
HPO_epsilon,23,epsilon,0.85,3,0.85,0.35,0.81,200,170714.0,1,
HPO_epsilon,24,epsilon,0.85,4,0.85,0.35,0.81,200,163723.0,192,
HPO_epsilon,25,epsilon,0.85,5,0.85,0.35,0.81,200,165121.0,73,
recommendation,,epsilon,,,,,,,,,recommended epsilon set = [0.05]
phase_setup,,alpha,,,,,,,,,"Phase 2 fixed epsilon=0.0500, gamma=0.8163"
HPO_alpha,26,alpha,0.05,1,0.05,0.05,0.82,200,95160.0,137,
HPO_alpha,27,alpha,0.05,2,0.05,0.05,0.82,200,94387.0,135,
HPO_alpha,28,alpha,0.05,3,0.05,0.05,0.82,200,100661.0,131,
HPO_alpha,29,alpha,0.05,4,0.05,0.05,0.82,200,98940.0,130,
HPO_alpha,30,alpha,0.05,5,0.05,0.05,0.82,200,99877.0,131,
HPO_alpha,31,alpha,0.25,1,0.05,0.25,0.82,200,101512.0,141,
HPO_alpha,32,alpha,0.25,2,0.05,0.25,0.82,200,93582.0,126,
HPO_alpha,33,alpha,0.25,3,0.05,0.25,0.82,200,98054.0,139,
HPO_alpha,34,alpha,0.25,4,0.05,0.25,0.82,200,96270.0,138,
HPO_alpha,35,alpha,0.25,5,0.05,0.25,0.82,200,94938.0,130,
HPO_alpha,36,alpha,0.45,1,0.05,0.45,0.82,200,92675.0,137,
HPO_alpha,37,alpha,0.45,2,0.05,0.45,0.82,200,97640.0,134,
HPO_alpha,38,alpha,0.45,3,0.05,0.45,0.82,200,94908.0,131,
HPO_alpha,39,alpha,0.45,4,0.05,0.45,0.82,200,98870.0,135,
HPO_alpha,40,alpha,0.45,5,0.05,0.45,0.82,200,95637.0,131,
HPO_alpha,41,alpha,0.65,1,0.05,0.65,0.82,200,93749.0,138,
HPO_alpha,42,alpha,0.65,2,0.05,0.65,0.82,200,95693.0,140,
HPO_alpha,43,alpha,0.65,3,0.05,0.65,0.82,200,86741.0,131,
HPO_alpha,44,alpha,0.65,4,0.05,0.65,0.82,200,93567.0,131,
HPO_alpha,45,alpha,0.65,5,0.05,0.65,0.82,200,90730.0,130,
HPO_alpha,46,alpha,0.85,1,0.05,0.85,0.82,200,93882.0,151,
HPO_alpha,47,alpha,0.85,2,0.05,0.85,0.82,200,96626.0,130,
