stage,eval_index,tuned_param,candidate_value,epoch,epsilon,alpha,gamma,n_episodes,min_distance,best_episode,note
phase_setup,,epsilon,,,,,,,,,"Phase 1 fixed alpha=0.3496, gamma=0.8106"
HPO_epsilon,1,epsilon,0.05,1,0.05,0.35,0.81,200,30260.0,66,
HPO_epsilon,2,epsilon,0.05,2,0.05,0.35,0.81,200,30240.0,68,
HPO_epsilon,3,epsilon,0.05,3,0.05,0.35,0.81,200,30455.0,131,
HPO_epsilon,4,epsilon,0.05,4,0.05,0.35,0.81,200,29965.0,58,
HPO_epsilon,5,epsilon,0.05,5,0.05,0.35,0.81,200,30580.0,106,
HPO_epsilon,6,epsilon,0.25,1,0.25,0.35,0.81,200,33180.0,187,
HPO_epsilon,7,epsilon,0.25,2,0.25,0.35,0.81,200,31820.0,96,
HPO_epsilon,8,epsilon,0.25,3,0.25,0.35,0.81,200,31875.0,196,
HPO_epsilon,9,epsilon,0.25,4,0.25,0.35,0.81,200,32115.0,194,
HPO_epsilon,10,epsilon,0.25,5,0.25,0.35,0.81,200,31510.0,177,
HPO_epsilon,11,epsilon,0.45,1,0.45,0.35,0.81,200,58195.0,79,
HPO_epsilon,12,epsilon,0.45,2,0.45,0.35,0.81,200,33190.0,141,
HPO_epsilon,13,epsilon,0.45,3,0.45,0.35,0.81,200,57825.0,69,
HPO_epsilon,14,epsilon,0.45,4,0.45,0.35,0.81,200,32245.0,176,
HPO_epsilon,15,epsilon,0.45,5,0.45,0.35,0.81,200,33000.0,90,
HPO_epsilon,16,epsilon,0.65,1,0.65,0.35,0.81,200,57760.0,156,
HPO_epsilon,17,epsilon,0.65,2,0.65,0.35,0.81,200,58655.0,136,
HPO_epsilon,18,epsilon,0.65,3,0.65,0.35,0.81,200,58595.0,180,
HPO_epsilon,19,epsilon,0.65,4,0.65,0.35,0.81,200,58780.0,74,
HPO_epsilon,20,epsilon,0.65,5,0.65,0.35,0.81,200,58420.0,114,
HPO_epsilon,21,epsilon,0.85,1,0.85,0.35,0.81,200,60900.0,126,
HPO_epsilon,22,epsilon,0.85,2,0.85,0.35,0.81,200,61170.0,129,
HPO_epsilon,23,epsilon,0.85,3,0.85,0.35,0.81,200,60085.0,98,
HPO_epsilon,24,epsilon,0.85,4,0.85,0.35,0.81,200,84895.0,138,
HPO_epsilon,25,epsilon,0.85,5,0.85,0.35,0.81,200,60185.0,144,
recommendation,,epsilon,,,,,,,,,recommended epsilon set = [0.4233]
phase_setup,,alpha,,,,,,,,,"Phase 2 fixed epsilon=0.4233, gamma=0.5144"
HPO_alpha,26,alpha,0.05,1,0.42,0.05,0.51,200,56885.0,159,
HPO_alpha,27,alpha,0.05,2,0.42,0.05,0.51,200,31710.0,198,
HPO_alpha,28,alpha,0.05,3,0.42,0.05,0.51,200,57160.0,87,
HPO_alpha,29,alpha,0.05,4,0.42,0.05,0.51,200,57255.0,145,
HPO_alpha,30,alpha,0.05,5,0.42,0.05,0.51,200,56620.0,114,
HPO_alpha,31,alpha,0.25,1,0.42,0.25,0.51,200,57300.0,73,
HPO_alpha,32,alpha,0.25,2,0.42,0.25,0.51,200,57930.0,125,
HPO_alpha,33,alpha,0.25,3,0.42,0.25,0.51,200,32440.0,125,
HPO_alpha,34,alpha,0.25,4,0.42,0.25,0.51,200,57485.0,158,
HPO_alpha,35,alpha,0.25,5,0.42,0.25,0.51,200,31430.0,155,
HPO_alpha,36,alpha,0.45,1,0.42,0.45,0.51,200,31170.0,75,
HPO_alpha,37,alpha,0.45,2,0.42,0.45,0.51,200,57780.0,118,
