stage,eval_index,tuned_param,candidate_value,epoch,epsilon,alpha,gamma,n_episodes,min_distance,best_episode,note
phase_setup,,epsilon,,,,,,,,,"Phase 1 fixed alpha=0.3496, gamma=0.8106"
HPO_epsilon,1,epsilon,0.05,1,0.05,0.35,0.81,200,689.0,69,
HPO_epsilon,2,epsilon,0.05,2,0.05,0.35,0.81,200,625.0,64,
HPO_epsilon,3,epsilon,0.05,3,0.05,0.35,0.81,200,712.0,71,
HPO_epsilon,4,epsilon,0.05,4,0.05,0.35,0.81,200,636.0,86,
HPO_epsilon,5,epsilon,0.05,5,0.05,0.35,0.81,200,613.0,49,
HPO_epsilon,6,epsilon,0.25,1,0.25,0.35,0.81,200,914.0,103,
HPO_epsilon,7,epsilon,0.25,2,0.25,0.35,0.81,200,844.0,64,
HPO_epsilon,8,epsilon,0.25,3,0.25,0.35,0.81,200,854.0,187,
HPO_epsilon,9,epsilon,0.25,4,0.25,0.35,0.81,200,829.0,74,
HPO_epsilon,10,epsilon,0.25,5,0.25,0.35,0.81,200,725.0,53,
HPO_epsilon,11,epsilon,0.45,1,0.45,0.35,0.81,200,1083.0,72,
HPO_epsilon,12,epsilon,0.45,2,0.45,0.35,0.81,200,1041.0,151,
HPO_epsilon,13,epsilon,0.45,3,0.45,0.35,0.81,200,1114.0,71,
HPO_epsilon,14,epsilon,0.45,4,0.45,0.35,0.81,200,1089.0,60,
HPO_epsilon,15,epsilon,0.45,5,0.45,0.35,0.81,200,1079.0,85,
HPO_epsilon,16,epsilon,0.65,1,0.65,0.35,0.81,200,1208.0,185,
HPO_epsilon,17,epsilon,0.65,2,0.65,0.35,0.81,200,1235.0,151,
HPO_epsilon,18,epsilon,0.65,3,0.65,0.35,0.81,200,1229.0,122,
HPO_epsilon,19,epsilon,0.65,4,0.65,0.35,0.81,200,1176.0,175,
HPO_epsilon,20,epsilon,0.65,5,0.65,0.35,0.81,200,1318.0,138,
HPO_epsilon,21,epsilon,0.85,1,0.85,0.35,0.81,200,1391.0,180,
HPO_epsilon,22,epsilon,0.85,2,0.85,0.35,0.81,200,1526.0,198,
HPO_epsilon,23,epsilon,0.85,3,0.85,0.35,0.81,200,1509.0,109,
HPO_epsilon,24,epsilon,0.85,4,0.85,0.35,0.81,200,1541.0,184,
HPO_epsilon,25,epsilon,0.85,5,0.85,0.35,0.81,200,1518.0,105,
recommendation,,epsilon,,,,,,,,,recommended epsilon set = [0.05]
phase_setup,,alpha,,,,,,,,,"Phase 2 fixed epsilon=0.0500, gamma=0.3094"
HPO_alpha,26,alpha,0.05,1,0.05,0.05,0.31,200,536.0,64,
HPO_alpha,27,alpha,0.05,2,0.05,0.05,0.31,200,577.0,60,
HPO_alpha,28,alpha,0.05,3,0.05,0.05,0.31,200,661.0,63,
HPO_alpha,29,alpha,0.05,4,0.05,0.05,0.31,200,668.0,105,
HPO_alpha,30,alpha,0.05,5,0.05,0.05,0.31,200,650.0,74,
HPO_alpha,31,alpha,0.25,1,0.05,0.25,0.31,200,529.0,195,
HPO_alpha,32,alpha,0.25,2,0.05,0.25,0.31,200,563.0,109,
HPO_alpha,33,alpha,0.25,3,0.05,0.25,0.31,200,545.0,152,
HPO_alpha,34,alpha,0.25,4,0.05,0.25,0.31,200,513.0,175,
HPO_alpha,35,alpha,0.25,5,0.05,0.25,0.31,200,507.0,181,
HPO_alpha,36,alpha,0.45,1,0.05,0.45,0.31,200,458.0,128,
HPO_alpha,37,alpha,0.45,2,0.05,0.45,0.31,200,510.0,91,
HPO_alpha,38,alpha,0.45,3,0.05,0.45,0.31,200,469.0,183,
HPO_alpha,39,alpha,0.45,4,0.05,0.45,0.31,200,377.0,144,
HPO_alpha,40,alpha,0.45,5,0.05,0.45,0.31,200,481.0,129,
HPO_alpha,41,alpha,0.65,1,0.05,0.65,0.31,200,459.0,160,
HPO_alpha,42,alpha,0.65,2,0.05,0.65,0.31,200,456.0,167,
HPO_alpha,43,alpha,0.65,3,0.05,0.65,0.31,200,478.0,96,
HPO_alpha,44,alpha,0.65,4,0.05,0.65,0.31,200,428.0,151,
HPO_alpha,45,alpha,0.65,5,0.05,0.65,0.31,200,454.0,165,
HPO_alpha,46,alpha,0.85,1,0.05,0.85,0.31,200,424.0,181,
HPO_alpha,47,alpha,0.85,2,0.05,0.85,0.31,200,499.0,79,
HPO_alpha,48,alpha,0.85,3,0.05,0.85,0.31,200,496.0,188,
HPO_alpha,49,alpha,0.85,4,0.05,0.85,0.31,200,462.0,55,
HPO_alpha,50,alpha,0.85,5,0.05,0.85,0.31,200,392.0,105,
recommendation,,alpha,,,,,,,,,"recommended alpha set = [0.45, 0.65, 0.85]"
phase_setup,,gamma,,,,,,,,,"Phase 3 fixed epsilon=0.0500, alpha=0.8047"
HPO_gamma,51,gamma,0.05,1,0.05,0.80,0.05,200,384.0,164,
HPO_gamma,52,gamma,0.05,2,0.05,0.80,0.05,200,423.0,68,
HPO_gamma,53,gamma,0.05,3,0.05,0.80,0.05,200,399.0,79,
HPO_gamma,54,gamma,0.05,4,0.05,0.80,0.05,200,388.0,80,
HPO_gamma,55,gamma,0.05,5,0.05,0.80,0.05,200,412.0,61,
HPO_gamma,56,gamma,0.25,1,0.05,0.80,0.25,200,454.0,195,
HPO_gamma,57,gamma,0.25,2,0.05,0.80,0.25,200,467.0,159,
