stage,eval_index,tuned_param,candidate_value,epoch,epsilon,alpha,gamma,n_episodes,min_distance,best_episode,note
phase_setup,,epsilon,,,,,,,,,"Phase 1 fixed alpha=0.3496, gamma=0.8106"
HPO_epsilon,1,epsilon,0.05,1,0.05,0.35,0.81,200,29126.0,62,
HPO_epsilon,2,epsilon,0.05,2,0.05,0.35,0.81,200,27717.0,64,
HPO_epsilon,3,epsilon,0.05,3,0.05,0.35,0.81,200,29783.0,63,
HPO_epsilon,4,epsilon,0.05,4,0.05,0.35,0.81,200,29361.0,59,
HPO_epsilon,5,epsilon,0.05,5,0.05,0.35,0.81,200,28401.0,56,
HPO_epsilon,6,epsilon,0.25,1,0.25,0.35,0.81,200,32521.0,70,
HPO_epsilon,7,epsilon,0.25,2,0.25,0.35,0.81,200,33494.0,60,
HPO_epsilon,8,epsilon,0.25,3,0.25,0.35,0.81,200,33116.0,173,
HPO_epsilon,9,epsilon,0.25,4,0.25,0.35,0.81,200,35408.0,70,
HPO_epsilon,10,epsilon,0.25,5,0.25,0.35,0.81,200,32728.0,61,
HPO_epsilon,11,epsilon,0.45,1,0.45,0.35,0.81,200,35458.0,77,
HPO_epsilon,12,epsilon,0.45,2,0.45,0.35,0.81,200,36373.0,91,
HPO_epsilon,13,epsilon,0.45,3,0.45,0.35,0.81,200,37886.0,72,
HPO_epsilon,14,epsilon,0.45,4,0.45,0.35,0.81,200,33710.0,94,
HPO_epsilon,15,epsilon,0.45,5,0.45,0.35,0.81,200,36183.0,76,
HPO_epsilon,16,epsilon,0.65,1,0.65,0.35,0.81,200,41334.0,78,
HPO_epsilon,17,epsilon,0.65,2,0.65,0.35,0.81,200,39104.0,170,
HPO_epsilon,18,epsilon,0.65,3,0.65,0.35,0.81,200,40300.0,162,
HPO_epsilon,19,epsilon,0.65,4,0.65,0.35,0.81,200,39127.0,121,
HPO_epsilon,20,epsilon,0.65,5,0.65,0.35,0.81,200,41818.0,198,
HPO_epsilon,21,epsilon,0.85,1,0.85,0.35,0.81,200,44238.0,67,
HPO_epsilon,22,epsilon,0.85,2,0.85,0.35,0.81,200,39963.0,139,
HPO_epsilon,23,epsilon,0.85,3,0.85,0.35,0.81,200,45249.0,132,
