stage,eval_index,tuned_param,candidate_value,epoch,epsilon,alpha,gamma,n_episodes,min_distance,best_episode,note
phase_setup,,epsilon,,,,,,,,,"Phase 1 fixed alpha=0.3496, gamma=0.8106"
HPO_epsilon,1,epsilon,0.05,1,0.05,0.35,0.81,200,1795.0,131,
HPO_epsilon,2,epsilon,0.05,2,0.05,0.35,0.81,200,1845.0,163,
HPO_epsilon,3,epsilon,0.05,3,0.05,0.35,0.81,200,1846.0,106,
HPO_epsilon,4,epsilon,0.05,4,0.05,0.35,0.81,200,1807.0,97,
HPO_epsilon,5,epsilon,0.05,5,0.05,0.35,0.81,200,1869.0,48,
HPO_epsilon,6,epsilon,0.25,1,0.25,0.35,0.81,200,1706.0,113,
HPO_epsilon,7,epsilon,0.25,2,0.25,0.35,0.81,200,1889.0,98,
HPO_epsilon,8,epsilon,0.25,3,0.25,0.35,0.81,200,1859.0,68,
HPO_epsilon,9,epsilon,0.25,4,0.25,0.35,0.81,200,1940.0,86,
HPO_epsilon,10,epsilon,0.25,5,0.25,0.35,0.81,200,1816.0,166,
HPO_epsilon,11,epsilon,0.45,1,0.45,0.35,0.81,200,1806.0,133,
HPO_epsilon,12,epsilon,0.45,2,0.45,0.35,0.81,200,1852.0,124,
HPO_epsilon,13,epsilon,0.45,3,0.45,0.35,0.81,200,1927.0,60,
HPO_epsilon,14,epsilon,0.45,4,0.45,0.35,0.81,200,1948.0,197,
HPO_epsilon,15,epsilon,0.45,5,0.45,0.35,0.81,200,1833.0,57,
HPO_epsilon,16,epsilon,0.65,1,0.65,0.35,0.81,200,2069.0,197,
HPO_epsilon,17,epsilon,0.65,2,0.65,0.35,0.81,200,1874.0,126,
HPO_epsilon,18,epsilon,0.65,3,0.65,0.35,0.81,200,1971.0,61,
HPO_epsilon,19,epsilon,0.65,4,0.65,0.35,0.81,200,2029.0,60,
HPO_epsilon,20,epsilon,0.65,5,0.65,0.35,0.81,200,2077.0,175,
HPO_epsilon,21,epsilon,0.85,1,0.85,0.35,0.81,200,2139.0,107,
HPO_epsilon,22,epsilon,0.85,2,0.85,0.35,0.81,200,2176.0,188,
HPO_epsilon,23,epsilon,0.85,3,0.85,0.35,0.81,200,1966.0,186,
HPO_epsilon,24,epsilon,0.85,4,0.85,0.35,0.81,200,1925.0,183,
HPO_epsilon,25,epsilon,0.85,5,0.85,0.35,0.81,200,1995.0,110,
recommendation,,epsilon,,,,,,,,,"recommended epsilon set = [0.05, 0.25, 0.45]"
phase_setup,,alpha,,,,,,,,,"Phase 2 fixed epsilon=0.3816, gamma=0.7035"
HPO_alpha,26,alpha,0.05,1,0.38,0.05,0.70,200,1899.0,88,
HPO_alpha,27,alpha,0.05,2,0.38,0.05,0.70,200,1960.0,44,
HPO_alpha,28,alpha,0.05,3,0.38,0.05,0.70,200,1844.0,83,
HPO_alpha,29,alpha,0.05,4,0.38,0.05,0.70,200,1845.0,179,
HPO_alpha,30,alpha,0.05,5,0.38,0.05,0.70,200,1799.0,48,
HPO_alpha,31,alpha,0.25,1,0.38,0.25,0.70,200,1932.0,193,
HPO_alpha,32,alpha,0.25,2,0.38,0.25,0.70,200,1835.0,133,
HPO_alpha,33,alpha,0.25,3,0.38,0.25,0.70,200,1854.0,191,
HPO_alpha,34,alpha,0.25,4,0.38,0.25,0.70,200,1873.0,113,
HPO_alpha,35,alpha,0.25,5,0.38,0.25,0.70,200,1791.0,57,
HPO_alpha,36,alpha,0.45,1,0.38,0.45,0.70,200,1772.0,103,
HPO_alpha,37,alpha,0.45,2,0.38,0.45,0.70,200,1860.0,177,
HPO_alpha,38,alpha,0.45,3,0.38,0.45,0.70,200,1798.0,166,
HPO_alpha,39,alpha,0.45,4,0.38,0.45,0.70,200,1873.0,145,
HPO_alpha,40,alpha,0.45,5,0.38,0.45,0.70,200,1772.0,83,
HPO_alpha,41,alpha,0.65,1,0.38,0.65,0.70,200,1929.0,52,
HPO_alpha,42,alpha,0.65,2,0.38,0.65,0.70,200,1817.0,77,
HPO_alpha,43,alpha,0.65,3,0.38,0.65,0.70,200,2007.0,93,
HPO_alpha,44,alpha,0.65,4,0.38,0.65,0.70,200,1782.0,103,
HPO_alpha,45,alpha,0.65,5,0.38,0.65,0.70,200,1865.0,85,
HPO_alpha,46,alpha,0.85,1,0.38,0.85,0.70,200,1936.0,132,
HPO_alpha,47,alpha,0.85,2,0.38,0.85,0.70,200,1931.0,103,
HPO_alpha,48,alpha,0.85,3,0.38,0.85,0.70,200,2090.0,127,
HPO_alpha,49,alpha,0.85,4,0.38,0.85,0.70,200,1939.0,88,
HPO_alpha,50,alpha,0.85,5,0.38,0.85,0.70,200,1760.0,155,
recommendation,,alpha,,,,,,,,,recommended alpha set = [0.744]
phase_setup,,gamma,,,,,,,,,"Phase 3 fixed epsilon=0.0809, alpha=0.7440"
HPO_gamma,51,gamma,0.05,1,0.08,0.74,0.05,200,1799.0,36,
HPO_gamma,52,gamma,0.05,2,0.08,0.74,0.05,200,1868.0,78,
HPO_gamma,53,gamma,0.05,3,0.08,0.74,0.05,200,1858.0,35,
HPO_gamma,54,gamma,0.05,4,0.08,0.74,0.05,200,1799.0,60,
HPO_gamma,55,gamma,0.05,5,0.08,0.74,0.05,200,1846.0,12,
HPO_gamma,56,gamma,0.25,1,0.08,0.74,0.25,200,1880.0,26,
HPO_gamma,57,gamma,0.25,2,0.08,0.74,0.25,200,1779.0,12,
HPO_gamma,58,gamma,0.25,3,0.08,0.74,0.25,200,1813.0,26,
HPO_gamma,59,gamma,0.25,4,0.08,0.74,0.25,200,1823.0,35,
HPO_gamma,60,gamma,0.25,5,0.08,0.74,0.25,200,1773.0,65,
HPO_gamma,61,gamma,0.45,1,0.08,0.74,0.45,200,1880.0,62,
HPO_gamma,62,gamma,0.45,2,0.08,0.74,0.45,200,1813.0,176,
HPO_gamma,63,gamma,0.45,3,0.08,0.74,0.45,200,1813.0,118,
HPO_gamma,64,gamma,0.45,4,0.08,0.74,0.45,200,1923.0,193,
HPO_gamma,65,gamma,0.45,5,0.08,0.74,0.45,200,1829.0,155,
HPO_gamma,66,gamma,0.65,1,0.08,0.74,0.65,200,1781.0,117,
HPO_gamma,67,gamma,0.65,2,0.08,0.74,0.65,200,1884.0,41,
HPO_gamma,68,gamma,0.65,3,0.08,0.74,0.65,200,1891.0,36,
HPO_gamma,69,gamma,0.65,4,0.08,0.74,0.65,200,1772.0,143,
HPO_gamma,70,gamma,0.65,5,0.08,0.74,0.65,200,1783.0,65,
HPO_gamma,71,gamma,0.85,1,0.08,0.74,0.85,200,1806.0,194,
HPO_gamma,72,gamma,0.85,2,0.08,0.74,0.85,200,1760.0,34,
HPO_gamma,73,gamma,0.85,3,0.08,0.74,0.85,200,1850.0,189,
HPO_gamma,74,gamma,0.85,4,0.08,0.74,0.85,200,1840.0,153,
HPO_gamma,75,gamma,0.85,5,0.08,0.74,0.85,200,1806.0,115,
recommendation,,gamma,,,,,,,,,recommended gamma set = [0.6135]
final_grid,76,,,,0.05,0.74,0.61,10000,1685.0,1560,
final_grid,77,,,,0.25,0.74,0.61,10000,1675.0,3046,
final_grid,78,,,,0.45,0.74,0.61,10000,1675.0,5964,
overall_best,,,,,0.25,0.74,0.61,10000,1675.0,3046,best combination over the final grid
best_observed,,,,,,,,,1675.0,,lowest distance seen at any stage (from final training)
