stage,eval_index,tuned_param,candidate_value,epoch,epsilon,alpha,gamma,n_episodes,min_distance,best_episode,note
phase_setup,,epsilon,,,,,,,,,"Phase 1 fixed alpha=0.3496, gamma=0.8106"
HPO_epsilon,1,epsilon,0.05,1,0.05,0.35,0.81,200,60.0,130,
HPO_epsilon,2,epsilon,0.05,2,0.05,0.35,0.81,200,60.0,183,
HPO_epsilon,3,epsilon,0.05,3,0.05,0.35,0.81,200,57.0,16,
HPO_epsilon,4,epsilon,0.05,4,0.05,0.35,0.81,200,60.0,159,
HPO_epsilon,5,epsilon,0.05,5,0.05,0.35,0.81,200,60.0,178,
HPO_epsilon,6,epsilon,0.25,1,0.25,0.35,0.81,200,57.0,34,
HPO_epsilon,7,epsilon,0.25,2,0.25,0.35,0.81,200,60.0,58,
HPO_epsilon,8,epsilon,0.25,3,0.25,0.35,0.81,200,58.0,121,
HPO_epsilon,9,epsilon,0.25,4,0.25,0.35,0.81,200,55.0,52,
HPO_epsilon,10,epsilon,0.25,5,0.25,0.35,0.81,200,60.0,101,
HPO_epsilon,11,epsilon,0.45,1,0.45,0.35,0.81,200,60.0,27,
HPO_epsilon,12,epsilon,0.45,2,0.45,0.35,0.81,200,58.0,187,
HPO_epsilon,13,epsilon,0.45,3,0.45,0.35,0.81,200,60.0,155,
HPO_epsilon,14,epsilon,0.45,4,0.45,0.35,0.81,200,60.0,7,
HPO_epsilon,15,epsilon,0.45,5,0.45,0.35,0.81,200,59.0,15,
HPO_epsilon,16,epsilon,0.65,1,0.65,0.35,0.81,200,69.0,117,
HPO_epsilon,17,epsilon,0.65,2,0.65,0.35,0.81,200,63.0,185,
HPO_epsilon,18,epsilon,0.65,3,0.65,0.35,0.81,200,65.0,178,
HPO_epsilon,19,epsilon,0.65,4,0.65,0.35,0.81,200,58.0,110,
HPO_epsilon,20,epsilon,0.65,5,0.65,0.35,0.81,200,67.0,156,
HPO_epsilon,21,epsilon,0.85,1,0.85,0.35,0.81,200,80.0,19,
HPO_epsilon,22,epsilon,0.85,2,0.85,0.35,0.81,200,58.0,135,
HPO_epsilon,23,epsilon,0.85,3,0.85,0.35,0.81,200,74.0,99,
HPO_epsilon,24,epsilon,0.85,4,0.85,0.35,0.81,200,67.0,56,
HPO_epsilon,25,epsilon,0.85,5,0.85,0.35,0.81,200,66.0,11,
recommendation,,epsilon,,,,,,,,,"recommended epsilon set = [0.05, 0.25, 0.45]"
phase_setup,,alpha,,,,,,,,,"Phase 2 fixed epsilon=0.4367, gamma=0.4016"
HPO_alpha,26,alpha,0.05,1,0.44,0.05,0.40,200,57.0,129,
HPO_alpha,27,alpha,0.05,2,0.44,0.05,0.40,200,55.0,166,
HPO_alpha,28,alpha,0.05,3,0.44,0.05,0.40,200,57.0,195,
HPO_alpha,29,alpha,0.05,4,0.44,0.05,0.40,200,55.0,131,
HPO_alpha,30,alpha,0.05,5,0.44,0.05,0.40,200,57.0,168,
HPO_alpha,31,alpha,0.25,1,0.44,0.25,0.40,200,58.0,38,
HPO_alpha,32,alpha,0.25,2,0.44,0.25,0.40,200,62.0,26,
HPO_alpha,33,alpha,0.25,3,0.44,0.25,0.40,200,60.0,67,
HPO_alpha,34,alpha,0.25,4,0.44,0.25,0.40,200,57.0,43,
HPO_alpha,35,alpha,0.25,5,0.44,0.25,0.40,200,56.0,102,
HPO_alpha,36,alpha,0.45,1,0.44,0.45,0.40,200,55.0,111,
HPO_alpha,37,alpha,0.45,2,0.44,0.45,0.40,200,58.0,149,
HPO_alpha,38,alpha,0.45,3,0.44,0.45,0.40,200,57.0,164,
HPO_alpha,39,alpha,0.45,4,0.44,0.45,0.40,200,55.0,79,
HPO_alpha,40,alpha,0.45,5,0.44,0.45,0.40,200,62.0,50,
HPO_alpha,41,alpha,0.65,1,0.44,0.65,0.40,200,60.0,182,
HPO_alpha,42,alpha,0.65,2,0.44,0.65,0.40,200,64.0,50,
HPO_alpha,43,alpha,0.65,3,0.44,0.65,0.40,200,57.0,43,
HPO_alpha,44,alpha,0.65,4,0.44,0.65,0.40,200,57.0,171,
HPO_alpha,45,alpha,0.65,5,0.44,0.65,0.40,200,57.0,83,
HPO_alpha,46,alpha,0.85,1,0.44,0.85,0.40,200,60.0,158,
HPO_alpha,47,alpha,0.85,2,0.44,0.85,0.40,200,57.0,110,
HPO_alpha,48,alpha,0.85,3,0.44,0.85,0.40,200,60.0,113,
HPO_alpha,49,alpha,0.85,4,0.44,0.85,0.40,200,61.0,135,
HPO_alpha,50,alpha,0.85,5,0.44,0.85,0.40,200,58.0,41,
recommendation,,alpha,,,,,,,,,recommended alpha set = [0.656]
phase_setup,,gamma,,,,,,,,,"Phase 3 fixed epsilon=0.2527, alpha=0.6560"
HPO_gamma,51,gamma,0.05,1,0.25,0.66,0.05,200,57.0,53,
HPO_gamma,52,gamma,0.05,2,0.25,0.66,0.05,200,57.0,188,
HPO_gamma,53,gamma,0.05,3,0.25,0.66,0.05,200,55.0,80,
HPO_gamma,54,gamma,0.05,4,0.25,0.66,0.05,200,57.0,101,
HPO_gamma,55,gamma,0.05,5,0.25,0.66,0.05,200,57.0,197,
HPO_gamma,56,gamma,0.25,1,0.25,0.66,0.25,200,57.0,48,
HPO_gamma,57,gamma,0.25,2,0.25,0.66,0.25,200,55.0,64,
HPO_gamma,58,gamma,0.25,3,0.25,0.66,0.25,200,60.0,196,
HPO_gamma,59,gamma,0.25,4,0.25,0.66,0.25,200,58.0,197,
HPO_gamma,60,gamma,0.25,5,0.25,0.66,0.25,200,57.0,63,
HPO_gamma,61,gamma,0.45,1,0.25,0.66,0.45,200,55.0,151,
HPO_gamma,62,gamma,0.45,2,0.25,0.66,0.45,200,55.0,139,
HPO_gamma,63,gamma,0.45,3,0.25,0.66,0.45,200,57.0,42,
HPO_gamma,64,gamma,0.45,4,0.25,0.66,0.45,200,57.0,91,
HPO_gamma,65,gamma,0.45,5,0.25,0.66,0.45,200,57.0,107,
HPO_gamma,66,gamma,0.65,1,0.25,0.66,0.65,200,61.0,25,
HPO_gamma,67,gamma,0.65,2,0.25,0.66,0.65,200,57.0,88,
HPO_gamma,68,gamma,0.65,3,0.25,0.66,0.65,200,55.0,86,
HPO_gamma,69,gamma,0.65,4,0.25,0.66,0.65,200,55.0,163,
HPO_gamma,70,gamma,0.65,5,0.25,0.66,0.65,200,59.0,104,
HPO_gamma,71,gamma,0.85,1,0.25,0.66,0.85,200,57.0,156,
HPO_gamma,72,gamma,0.85,2,0.25,0.66,0.85,200,63.0,80,
HPO_gamma,73,gamma,0.85,3,0.25,0.66,0.85,200,57.0,31,
HPO_gamma,74,gamma,0.85,4,0.25,0.66,0.85,200,57.0,112,
HPO_gamma,75,gamma,0.85,5,0.25,0.66,0.85,200,57.0,30,
recommendation,,gamma,,,,,,,,,recommended gamma set = [0.8284]
final_grid,76,,,,0.05,0.66,0.83,10000,55.0,7208,
final_grid,77,,,,0.25,0.66,0.83,10000,55.0,9914,
final_grid,78,,,,0.45,0.66,0.83,10000,57.0,9665,
overall_best,,,,,0.05,0.66,0.83,10000,55.0,7208,best combination over the final grid
best_observed,,,,,,,,,55.0,,lowest distance seen at any stage (from final training)
