stage,eval_index,tuned_param,candidate_value,epoch,epsilon,alpha,gamma,n_episodes,min_distance,best_episode,note
phase_setup,,epsilon,,,,,,,,,"Phase 1 fixed alpha=0.3496, gamma=0.8106"
HPO_epsilon,1,epsilon,0.05,1,0.05,0.35,0.81,200,63735.0,53,
HPO_epsilon,2,epsilon,0.05,2,0.05,0.35,0.81,200,64554.0,56,
HPO_epsilon,3,epsilon,0.05,3,0.05,0.35,0.81,200,64766.0,191,
HPO_epsilon,4,epsilon,0.05,4,0.05,0.35,0.81,200,63708.0,175,
HPO_epsilon,5,epsilon,0.05,5,0.05,0.35,0.81,200,63973.0,109,
HPO_epsilon,6,epsilon,0.25,1,0.25,0.35,0.81,200,64062.0,179,
HPO_epsilon,7,epsilon,0.25,2,0.25,0.35,0.81,200,63628.0,60,
HPO_epsilon,8,epsilon,0.25,3,0.25,0.35,0.81,200,65009.0,65,
HPO_epsilon,9,epsilon,0.25,4,0.25,0.35,0.81,200,65721.0,65,
HPO_epsilon,10,epsilon,0.25,5,0.25,0.35,0.81,200,62116.0,57,
HPO_epsilon,11,epsilon,0.45,1,0.45,0.35,0.81,200,66086.0,98,
HPO_epsilon,12,epsilon,0.45,2,0.45,0.35,0.81,200,65381.0,141,
HPO_epsilon,13,epsilon,0.45,3,0.45,0.35,0.81,200,65646.0,72,
HPO_epsilon,14,epsilon,0.45,4,0.45,0.35,0.81,200,63564.0,66,
HPO_epsilon,15,epsilon,0.45,5,0.45,0.35,0.81,200,65484.0,70,
HPO_epsilon,16,epsilon,0.65,1,0.65,0.35,0.81,200,67025.0,79,
HPO_epsilon,17,epsilon,0.65,2,0.65,0.35,0.81,200,66195.0,100,
HPO_epsilon,18,epsilon,0.65,3,0.65,0.35,0.81,200,66476.0,118,
HPO_epsilon,19,epsilon,0.65,4,0.65,0.35,0.81,200,66385.0,141,
HPO_epsilon,20,epsilon,0.65,5,0.65,0.35,0.81,200,66906.0,190,
HPO_epsilon,21,epsilon,0.85,1,0.85,0.35,0.81,200,68013.0,24,
HPO_epsilon,22,epsilon,0.85,2,0.85,0.35,0.81,200,66622.0,91,
HPO_epsilon,23,epsilon,0.85,3,0.85,0.35,0.81,200,67496.0,29,
HPO_epsilon,24,epsilon,0.85,4,0.85,0.35,0.81,200,67169.0,46,
HPO_epsilon,25,epsilon,0.85,5,0.85,0.35,0.81,200,67205.0,152,
recommendation,,epsilon,,,,,,,,,"recommended epsilon set = [0.05, 0.25]"
phase_setup,,alpha,,,,,,,,,"Phase 2 fixed epsilon=0.1144, gamma=0.1356"
