stage,eval_index,tuned_param,candidate_value,epoch,epsilon,alpha,gamma,n_episodes,min_distance,best_episode,note
phase_setup,,epsilon,,,,,,,,,"Phase 1 fixed alpha=0.3496, gamma=0.8106"
HPO_epsilon,1,epsilon,0.05,1,0.05,0.35,0.81,200,98332.0,127,
HPO_epsilon,2,epsilon,0.05,2,0.05,0.35,0.81,200,96933.0,141,
HPO_epsilon,3,epsilon,0.05,3,0.05,0.35,0.81,200,99710.0,141,
HPO_epsilon,4,epsilon,0.05,4,0.05,0.35,0.81,200,97449.0,141,
HPO_epsilon,5,epsilon,0.05,5,0.05,0.35,0.81,200,93590.0,125,
HPO_epsilon,6,epsilon,0.25,1,0.25,0.35,0.81,200,105998.0,134,
HPO_epsilon,7,epsilon,0.25,2,0.25,0.35,0.81,200,110319.0,145,
HPO_epsilon,8,epsilon,0.25,3,0.25,0.35,0.81,200,112033.0,144,
HPO_epsilon,9,epsilon,0.25,4,0.25,0.35,0.81,200,100712.0,128,
HPO_epsilon,10,epsilon,0.25,5,0.25,0.35,0.81,200,117119.0,150,
HPO_epsilon,11,epsilon,0.45,1,0.45,0.35,0.81,200,123497.0,152,
HPO_epsilon,12,epsilon,0.45,2,0.45,0.35,0.81,200,125852.0,145,
HPO_epsilon,13,epsilon,0.45,3,0.45,0.35,0.81,200,127006.0,191,
HPO_epsilon,14,epsilon,0.45,4,0.45,0.35,0.81,200,120374.0,155,
HPO_epsilon,15,epsilon,0.45,5,0.45,0.35,0.81,200,131825.0,154,
HPO_epsilon,16,epsilon,0.65,1,0.65,0.35,0.81,200,147664.0,196,
HPO_epsilon,17,epsilon,0.65,2,0.65,0.35,0.81,200,142596.0,186,
HPO_epsilon,18,epsilon,0.65,3,0.65,0.35,0.81,200,145550.0,167,
HPO_epsilon,19,epsilon,0.65,4,0.65,0.35,0.81,200,145618.0,179,
HPO_epsilon,20,epsilon,0.65,5,0.65,0.35,0.81,200,148325.0,194,
HPO_epsilon,21,epsilon,0.85,1,0.85,0.35,0.81,200,167038.0,162,
HPO_epsilon,22,epsilon,0.85,2,0.85,0.35,0.81,200,168717.0,109,
HPO_epsilon,23,epsilon,0.85,3,0.85,0.35,0.81,200,170225.0,87,
HPO_epsilon,24,epsilon,0.85,4,0.85,0.35,0.81,200,165841.0,184,
HPO_epsilon,25,epsilon,0.85,5,0.85,0.35,0.81,200,162621.0,188,
recommendation,,epsilon,,,,,,,,,recommended epsilon set = [0.05]
phase_setup,,alpha,,,,,,,,,"Phase 2 fixed epsilon=0.0500, gamma=0.3879"
HPO_alpha,26,alpha,0.05,1,0.05,0.05,0.39,200,95125.0,150,
HPO_alpha,27,alpha,0.05,2,0.05,0.05,0.39,200,100797.0,151,
HPO_alpha,28,alpha,0.05,3,0.05,0.05,0.39,200,98759.0,149,
HPO_alpha,29,alpha,0.05,4,0.05,0.05,0.39,200,98004.0,132,
HPO_alpha,30,alpha,0.05,5,0.05,0.05,0.39,200,93507.0,122,
HPO_alpha,31,alpha,0.25,1,0.05,0.25,0.39,200,89827.0,140,
HPO_alpha,32,alpha,0.25,2,0.05,0.25,0.39,200,84786.0,162,
HPO_alpha,33,alpha,0.25,3,0.05,0.25,0.39,200,89561.0,128,
HPO_alpha,34,alpha,0.25,4,0.05,0.25,0.39,200,88972.0,143,
HPO_alpha,35,alpha,0.25,5,0.05,0.25,0.39,200,88646.0,137,
HPO_alpha,36,alpha,0.45,1,0.05,0.45,0.39,200,69713.0,198,
HPO_alpha,37,alpha,0.45,2,0.05,0.45,0.39,200,73259.0,169,
HPO_alpha,38,alpha,0.45,3,0.05,0.45,0.39,200,70803.0,161,
HPO_alpha,39,alpha,0.45,4,0.05,0.45,0.39,200,71923.0,190,
HPO_alpha,40,alpha,0.45,5,0.05,0.45,0.39,200,73791.0,191,
HPO_alpha,41,alpha,0.65,1,0.05,0.65,0.39,200,64016.0,141,
HPO_alpha,42,alpha,0.65,2,0.05,0.65,0.39,200,65628.0,162,
HPO_alpha,43,alpha,0.65,3,0.05,0.65,0.39,200,61356.0,198,
HPO_alpha,44,alpha,0.65,4,0.05,0.65,0.39,200,61996.0,199,
HPO_alpha,45,alpha,0.65,5,0.05,0.65,0.39,200,65200.0,156,
HPO_alpha,46,alpha,0.85,1,0.05,0.85,0.39,200,64697.0,194,
HPO_alpha,47,alpha,0.85,2,0.05,0.85,0.39,200,63257.0,192,
HPO_alpha,48,alpha,0.85,3,0.05,0.85,0.39,200,61598.0,168,
HPO_alpha,49,alpha,0.85,4,0.05,0.85,0.39,200,60285.0,151,
HPO_alpha,50,alpha,0.85,5,0.05,0.85,0.39,200,62164.0,164,
recommendation,,alpha,,,,,,,,,"recommended alpha set = [0.65, 0.85]"
phase_setup,,gamma,,,,,,,,,"Phase 3 fixed epsilon=0.0500, alpha=0.7026"
HPO_gamma,51,gamma,0.05,1,0.05,0.70,0.05,200,52411.0,180,
HPO_gamma,52,gamma,0.05,2,0.05,0.70,0.05,200,53887.0,178,
HPO_gamma,53,gamma,0.05,3,0.05,0.70,0.05,200,52589.0,183,
HPO_gamma,54,gamma,0.05,4,0.05,0.70,0.05,200,49099.0,177,
HPO_gamma,55,gamma,0.05,5,0.05,0.70,0.05,200,52855.0,168,
HPO_gamma,56,gamma,0.25,1,0.05,0.70,0.25,200,58446.0,169,
HPO_gamma,57,gamma,0.25,2,0.05,0.70,0.25,200,58836.0,166,
HPO_gamma,58,gamma,0.25,3,0.05,0.70,0.25,200,58339.0,146,
HPO_gamma,59,gamma,0.25,4,0.05,0.70,0.25,200,59414.0,174,
HPO_gamma,60,gamma,0.25,5,0.05,0.70,0.25,200,59603.0,154,
HPO_gamma,61,gamma,0.45,1,0.05,0.70,0.45,200,68770.0,199,
HPO_gamma,62,gamma,0.45,2,0.05,0.70,0.45,200,66705.0,162,
HPO_gamma,63,gamma,0.45,3,0.05,0.70,0.45,200,66045.0,167,
HPO_gamma,64,gamma,0.45,4,0.05,0.70,0.45,200,66255.0,168,
HPO_gamma,65,gamma,0.45,5,0.05,0.70,0.45,200,66661.0,164,
HPO_gamma,66,gamma,0.65,1,0.05,0.70,0.65,200,84471.0,180,
HPO_gamma,67,gamma,0.65,2,0.05,0.70,0.65,200,84935.0,177,
HPO_gamma,68,gamma,0.65,3,0.05,0.70,0.65,200,83254.0,148,
HPO_gamma,69,gamma,0.65,4,0.05,0.70,0.65,200,83541.0,152,
HPO_gamma,70,gamma,0.65,5,0.05,0.70,0.65,200,81852.0,138,
HPO_gamma,71,gamma,0.85,1,0.05,0.70,0.85,200,96104.0,128,
HPO_gamma,72,gamma,0.85,2,0.05,0.70,0.85,200,95568.0,131,
HPO_gamma,73,gamma,0.85,3,0.05,0.70,0.85,200,94394.0,133,
HPO_gamma,74,gamma,0.85,4,0.05,0.70,0.85,200,99297.0,130,
HPO_gamma,75,gamma,0.85,5,0.05,0.70,0.85,200,97486.0,148,
recommendation,,gamma,,,,,,,,,recommended gamma set = [0.05]
final_grid,76,,,,0.05,0.65,0.05,10000,47218.0,9550,
final_grid,77,,,,0.05,0.85,0.05,10000,46346.0,5871,
overall_best,,,,,0.05,0.85,0.05,10000,46346.0,5871,best combination over the final grid
best_observed,,,,,,,,,46346.0,,lowest distance seen at any stage (from final training)
