stage,eval_index,tuned_param,candidate_value,epoch,epsilon,alpha,gamma,n_episodes,min_distance,best_episode,note
phase_setup,,epsilon,,,,,,,,,"Phase 1 fixed alpha=0.3496, gamma=0.8106"
HPO_epsilon,1,epsilon,0.05,1,0.05,0.35,0.81,200,30505.0,165,
HPO_epsilon,2,epsilon,0.05,2,0.05,0.35,0.81,200,30620.0,118,
HPO_epsilon,3,epsilon,0.05,3,0.05,0.35,0.81,200,29870.0,62,
HPO_epsilon,4,epsilon,0.05,4,0.05,0.35,0.81,200,30370.0,69,
HPO_epsilon,5,epsilon,0.05,5,0.05,0.35,0.81,200,30210.0,76,
HPO_epsilon,6,epsilon,0.25,1,0.25,0.35,0.81,200,30785.0,86,
HPO_epsilon,7,epsilon,0.25,2,0.25,0.35,0.81,200,31620.0,84,
HPO_epsilon,8,epsilon,0.25,3,0.25,0.35,0.81,200,30945.0,81,
HPO_epsilon,9,epsilon,0.25,4,0.25,0.35,0.81,200,31605.0,134,
HPO_epsilon,10,epsilon,0.25,5,0.25,0.35,0.81,200,31620.0,116,
HPO_epsilon,11,epsilon,0.45,1,0.45,0.35,0.81,200,31430.0,152,
HPO_epsilon,12,epsilon,0.45,2,0.45,0.35,0.81,200,31295.0,109,
HPO_epsilon,13,epsilon,0.45,3,0.45,0.35,0.81,200,33195.0,181,
HPO_epsilon,14,epsilon,0.45,4,0.45,0.35,0.81,200,32095.0,198,
HPO_epsilon,15,epsilon,0.45,5,0.45,0.35,0.81,200,33520.0,178,
HPO_epsilon,16,epsilon,0.65,1,0.65,0.35,0.81,200,58155.0,194,
HPO_epsilon,17,epsilon,0.65,2,0.65,0.35,0.81,200,58450.0,91,
HPO_epsilon,18,epsilon,0.65,3,0.65,0.35,0.81,200,32520.0,104,
HPO_epsilon,19,epsilon,0.65,4,0.65,0.35,0.81,200,58140.0,167,
HPO_epsilon,20,epsilon,0.65,5,0.65,0.35,0.81,200,59160.0,155,
HPO_epsilon,21,epsilon,0.85,1,0.85,0.35,0.81,200,59450.0,142,
HPO_epsilon,22,epsilon,0.85,2,0.85,0.35,0.81,200,60330.0,192,
HPO_epsilon,23,epsilon,0.85,3,0.85,0.35,0.81,200,60620.0,181,
HPO_epsilon,24,epsilon,0.85,4,0.85,0.35,0.81,200,60680.0,106,
HPO_epsilon,25,epsilon,0.85,5,0.85,0.35,0.81,200,58915.0,83,
recommendation,,epsilon,,,,,,,,,recommended epsilon set = [0.6749]
phase_setup,,alpha,,,,,,,,,"Phase 2 fixed epsilon=0.6749, gamma=0.3852"
HPO_alpha,26,alpha,0.05,1,0.67,0.05,0.39,200,57675.0,176,
HPO_alpha,27,alpha,0.05,2,0.67,0.05,0.39,200,57945.0,166,
HPO_alpha,28,alpha,0.05,3,0.67,0.05,0.39,200,57850.0,96,
HPO_alpha,29,alpha,0.05,4,0.67,0.05,0.39,200,58380.0,187,
HPO_alpha,30,alpha,0.05,5,0.67,0.05,0.39,200,57030.0,178,
HPO_alpha,31,alpha,0.25,1,0.67,0.25,0.39,200,57765.0,139,
HPO_alpha,32,alpha,0.25,2,0.67,0.25,0.39,200,58400.0,101,
HPO_alpha,33,alpha,0.25,3,0.67,0.25,0.39,200,58205.0,68,
HPO_alpha,34,alpha,0.25,4,0.67,0.25,0.39,200,57900.0,180,
HPO_alpha,35,alpha,0.25,5,0.67,0.25,0.39,200,33705.0,131,
HPO_alpha,36,alpha,0.45,1,0.67,0.45,0.39,200,58055.0,95,
HPO_alpha,37,alpha,0.45,2,0.67,0.45,0.39,200,57900.0,95,
HPO_alpha,38,alpha,0.45,3,0.67,0.45,0.39,200,58140.0,162,
HPO_alpha,39,alpha,0.45,4,0.67,0.45,0.39,200,57895.0,179,
HPO_alpha,40,alpha,0.45,5,0.67,0.45,0.39,200,58555.0,140,
HPO_alpha,41,alpha,0.65,1,0.67,0.65,0.39,200,57600.0,168,
HPO_alpha,42,alpha,0.65,2,0.67,0.65,0.39,200,58530.0,112,
HPO_alpha,43,alpha,0.65,3,0.67,0.65,0.39,200,58240.0,91,
HPO_alpha,44,alpha,0.65,4,0.67,0.65,0.39,200,58640.0,104,
HPO_alpha,45,alpha,0.65,5,0.67,0.65,0.39,200,58920.0,181,
HPO_alpha,46,alpha,0.85,1,0.67,0.85,0.39,200,58390.0,171,
HPO_alpha,47,alpha,0.85,2,0.67,0.85,0.39,200,58100.0,175,
HPO_alpha,48,alpha,0.85,3,0.67,0.85,0.39,200,58595.0,125,
HPO_alpha,49,alpha,0.85,4,0.67,0.85,0.39,200,58415.0,163,
HPO_alpha,50,alpha,0.85,5,0.67,0.85,0.39,200,32820.0,76,
recommendation,,alpha,,,,,,,,,recommended alpha set = [0.1624]
phase_setup,,gamma,,,,,,,,,"Phase 3 fixed epsilon=0.6749, alpha=0.1624"
HPO_gamma,51,gamma,0.05,1,0.67,0.16,0.05,200,57905.0,148,
HPO_gamma,52,gamma,0.05,2,0.67,0.16,0.05,200,58580.0,180,
HPO_gamma,53,gamma,0.05,3,0.67,0.16,0.05,200,57130.0,191,
HPO_gamma,54,gamma,0.05,4,0.67,0.16,0.05,200,57775.0,153,
HPO_gamma,55,gamma,0.05,5,0.67,0.16,0.05,200,31190.0,116,
HPO_gamma,56,gamma,0.25,1,0.67,0.16,0.25,200,58240.0,80,
HPO_gamma,57,gamma,0.25,2,0.67,0.16,0.25,200,32630.0,131,
HPO_gamma,58,gamma,0.25,3,0.67,0.16,0.25,200,56770.0,116,
HPO_gamma,59,gamma,0.25,4,0.67,0.16,0.25,200,58360.0,173,
HPO_gamma,60,gamma,0.25,5,0.67,0.16,0.25,200,57815.0,167,
HPO_gamma,61,gamma,0.45,1,0.67,0.16,0.45,200,58585.0,154,
HPO_gamma,62,gamma,0.45,2,0.67,0.16,0.45,200,58645.0,88,
HPO_gamma,63,gamma,0.45,3,0.67,0.16,0.45,200,58105.0,106,
HPO_gamma,64,gamma,0.45,4,0.67,0.16,0.45,200,58985.0,126,
HPO_gamma,65,gamma,0.45,5,0.67,0.16,0.45,200,58505.0,39,
HPO_gamma,66,gamma,0.65,1,0.67,0.16,0.65,200,58215.0,170,
HPO_gamma,67,gamma,0.65,2,0.67,0.16,0.65,200,58050.0,134,
HPO_gamma,68,gamma,0.65,3,0.67,0.16,0.65,200,57980.0,186,
HPO_gamma,69,gamma,0.65,4,0.67,0.16,0.65,200,57945.0,77,
HPO_gamma,70,gamma,0.65,5,0.67,0.16,0.65,200,59020.0,71,
HPO_gamma,71,gamma,0.85,1,0.67,0.16,0.85,200,58070.0,196,
HPO_gamma,72,gamma,0.85,2,0.67,0.16,0.85,200,58610.0,88,
HPO_gamma,73,gamma,0.85,3,0.67,0.16,0.85,200,58250.0,101,
HPO_gamma,74,gamma,0.85,4,0.67,0.16,0.85,200,58365.0,189,
HPO_gamma,75,gamma,0.85,5,0.67,0.16,0.85,200,58680.0,153,
recommendation,,gamma,,,,,,,,,recommended gamma set = [0.7853]
final_grid,76,,,,0.67,0.16,0.79,10000,32195.0,9649,
overall_best,,,,,0.67,0.16,0.79,10000,32195.0,9649,best combination over the final grid
best_observed,,,,,,,,,29870.0,,lowest distance seen at any stage (from HPO)
