stage,eval_index,tuned_param,candidate_value,epoch,epsilon,alpha,gamma,n_episodes,min_distance,best_episode,note
phase_setup,,epsilon,,,,,,,,,"Phase 1 fixed alpha=0.3496, gamma=0.8106"
HPO_epsilon,1,epsilon,0.05,1,0.05,0.35,0.81,200,675.0,72,
HPO_epsilon,2,epsilon,0.05,2,0.05,0.35,0.81,200,631.0,56,
HPO_epsilon,3,epsilon,0.05,3,0.05,0.35,0.81,200,622.0,55,
HPO_epsilon,4,epsilon,0.05,4,0.05,0.35,0.81,200,674.0,67,
HPO_epsilon,5,epsilon,0.05,5,0.05,0.35,0.81,200,622.0,53,
HPO_epsilon,6,epsilon,0.25,1,0.25,0.35,0.81,200,786.0,64,
HPO_epsilon,7,epsilon,0.25,2,0.25,0.35,0.81,200,885.0,113,
HPO_epsilon,8,epsilon,0.25,3,0.25,0.35,0.81,200,868.0,83,
HPO_epsilon,9,epsilon,0.25,4,0.25,0.35,0.81,200,900.0,72,
HPO_epsilon,10,epsilon,0.25,5,0.25,0.35,0.81,200,926.0,59,
HPO_epsilon,11,epsilon,0.45,1,0.45,0.35,0.81,200,929.0,196,
HPO_epsilon,12,epsilon,0.45,2,0.45,0.35,0.81,200,1039.0,105,
HPO_epsilon,13,epsilon,0.45,3,0.45,0.35,0.81,200,1012.0,184,
HPO_epsilon,14,epsilon,0.45,4,0.45,0.35,0.81,200,1071.0,65,
HPO_epsilon,15,epsilon,0.45,5,0.45,0.35,0.81,200,1070.0,195,
HPO_epsilon,16,epsilon,0.65,1,0.65,0.35,0.81,200,1121.0,151,
HPO_epsilon,17,epsilon,0.65,2,0.65,0.35,0.81,200,1157.0,190,
HPO_epsilon,18,epsilon,0.65,3,0.65,0.35,0.81,200,1284.0,64,
HPO_epsilon,19,epsilon,0.65,4,0.65,0.35,0.81,200,1289.0,188,
HPO_epsilon,20,epsilon,0.65,5,0.65,0.35,0.81,200,1098.0,94,
HPO_epsilon,21,epsilon,0.85,1,0.85,0.35,0.81,200,1418.0,146,
HPO_epsilon,22,epsilon,0.85,2,0.85,0.35,0.81,200,1396.0,107,
HPO_epsilon,23,epsilon,0.85,3,0.85,0.35,0.81,200,1532.0,196,
HPO_epsilon,24,epsilon,0.85,4,0.85,0.35,0.81,200,1520.0,124,
HPO_epsilon,25,epsilon,0.85,5,0.85,0.35,0.81,200,1440.0,137,
recommendation,,epsilon,,,,,,,,,recommended epsilon set = [0.05]
phase_setup,,alpha,,,,,,,,,"Phase 2 fixed epsilon=0.0500, gamma=0.2454"
HPO_alpha,26,alpha,0.05,1,0.05,0.05,0.25,200,582.0,68,
HPO_alpha,27,alpha,0.05,2,0.05,0.05,0.25,200,595.0,67,
HPO_alpha,28,alpha,0.05,3,0.05,0.05,0.25,200,593.0,68,
HPO_alpha,29,alpha,0.05,4,0.05,0.05,0.25,200,528.0,72,
HPO_alpha,30,alpha,0.05,5,0.05,0.05,0.25,200,667.0,68,
HPO_alpha,31,alpha,0.25,1,0.05,0.25,0.25,200,485.0,142,
HPO_alpha,32,alpha,0.25,2,0.05,0.25,0.25,200,453.0,194,
HPO_alpha,33,alpha,0.25,3,0.05,0.25,0.25,200,477.0,139,
HPO_alpha,34,alpha,0.25,4,0.05,0.25,0.25,200,502.0,121,
HPO_alpha,35,alpha,0.25,5,0.05,0.25,0.25,200,469.0,133,
HPO_alpha,36,alpha,0.45,1,0.05,0.45,0.25,200,494.0,86,
HPO_alpha,37,alpha,0.45,2,0.05,0.45,0.25,200,418.0,187,
HPO_alpha,38,alpha,0.45,3,0.05,0.45,0.25,200,462.0,100,
HPO_alpha,39,alpha,0.45,4,0.05,0.45,0.25,200,497.0,81,
HPO_alpha,40,alpha,0.45,5,0.05,0.45,0.25,200,462.0,117,
HPO_alpha,41,alpha,0.65,1,0.05,0.65,0.25,200,429.0,83,
HPO_alpha,42,alpha,0.65,2,0.05,0.65,0.25,200,468.0,142,
HPO_alpha,43,alpha,0.65,3,0.05,0.65,0.25,200,457.0,87,
HPO_alpha,44,alpha,0.65,4,0.05,0.65,0.25,200,402.0,181,
HPO_alpha,45,alpha,0.65,5,0.05,0.65,0.25,200,392.0,158,
HPO_alpha,46,alpha,0.85,1,0.05,0.85,0.25,200,469.0,90,
HPO_alpha,47,alpha,0.85,2,0.05,0.85,0.25,200,413.0,65,
HPO_alpha,48,alpha,0.85,3,0.05,0.85,0.25,200,487.0,182,
HPO_alpha,49,alpha,0.85,4,0.05,0.85,0.25,200,442.0,104,
HPO_alpha,50,alpha,0.85,5,0.05,0.85,0.25,200,474.0,111,
recommendation,,alpha,,,,,,,,,"recommended alpha set = [0.25, 0.45, 0.65, 0.85]"
phase_setup,,gamma,,,,,,,,,"Phase 3 fixed epsilon=0.0500, alpha=0.6219"
HPO_gamma,51,gamma,0.05,1,0.05,0.62,0.05,200,445.0,194,
HPO_gamma,52,gamma,0.05,2,0.05,0.62,0.05,200,388.0,114,
HPO_gamma,53,gamma,0.05,3,0.05,0.62,0.05,200,417.0,84,
HPO_gamma,54,gamma,0.05,4,0.05,0.62,0.05,200,409.0,99,
HPO_gamma,55,gamma,0.05,5,0.05,0.62,0.05,200,373.0,59,
HPO_gamma,56,gamma,0.25,1,0.05,0.62,0.25,200,421.0,124,
HPO_gamma,57,gamma,0.25,2,0.05,0.62,0.25,200,466.0,97,
HPO_gamma,58,gamma,0.25,3,0.05,0.62,0.25,200,480.0,155,
HPO_gamma,59,gamma,0.25,4,0.05,0.62,0.25,200,426.0,148,
HPO_gamma,60,gamma,0.25,5,0.05,0.62,0.25,200,419.0,95,
HPO_gamma,61,gamma,0.45,1,0.05,0.62,0.45,200,414.0,79,
HPO_gamma,62,gamma,0.45,2,0.05,0.62,0.45,200,463.0,109,
HPO_gamma,63,gamma,0.45,3,0.05,0.62,0.45,200,455.0,111,
HPO_gamma,64,gamma,0.45,4,0.05,0.62,0.45,200,454.0,139,
HPO_gamma,65,gamma,0.45,5,0.05,0.62,0.45,200,508.0,147,
HPO_gamma,66,gamma,0.65,1,0.05,0.62,0.65,200,599.0,188,
HPO_gamma,67,gamma,0.65,2,0.05,0.62,0.65,200,550.0,193,
HPO_gamma,68,gamma,0.65,3,0.05,0.62,0.65,200,539.0,106,
HPO_gamma,69,gamma,0.65,4,0.05,0.62,0.65,200,613.0,72,
HPO_gamma,70,gamma,0.65,5,0.05,0.62,0.65,200,562.0,51,
HPO_gamma,71,gamma,0.85,1,0.05,0.62,0.85,200,762.0,53,
HPO_gamma,72,gamma,0.85,2,0.05,0.62,0.85,200,590.0,55,
HPO_gamma,73,gamma,0.85,3,0.05,0.62,0.85,200,712.0,64,
HPO_gamma,74,gamma,0.85,4,0.05,0.62,0.85,200,753.0,66,
HPO_gamma,75,gamma,0.85,5,0.05,0.62,0.85,200,668.0,78,
recommendation,,gamma,,,,,,,,,"recommended gamma set = [0.05, 0.25, 0.45]"
final_grid,76,,,,0.05,0.25,0.05,10000,323.0,2322,
final_grid,77,,,,0.05,0.25,0.25,10000,331.0,4752,
final_grid,78,,,,0.05,0.25,0.45,10000,403.0,5801,
final_grid,79,,,,0.05,0.45,0.05,10000,343.0,1124,
final_grid,80,,,,0.05,0.45,0.25,10000,350.0,484,
final_grid,81,,,,0.05,0.45,0.45,10000,384.0,3634,
final_grid,82,,,,0.05,0.65,0.05,10000,331.0,2544,
final_grid,83,,,,0.05,0.65,0.25,10000,342.0,2690,
final_grid,84,,,,0.05,0.65,0.45,10000,386.0,6270,
final_grid,85,,,,0.05,0.85,0.05,10000,278.0,6026,
final_grid,86,,,,0.05,0.85,0.25,10000,361.0,7240,
final_grid,87,,,,0.05,0.85,0.45,10000,407.0,6852,
overall_best,,,,,0.05,0.85,0.05,10000,278.0,6026,best combination over the final grid
best_observed,,,,,,,,,278.0,,lowest distance seen at any stage (from final training)
