stage,eval_index,tuned_param,candidate_value,epoch,epsilon,alpha,gamma,n_episodes,min_distance,best_episode,note
phase_setup,,epsilon,,,,,,,,,"Phase 1 fixed alpha=0.3496, gamma=0.8106"
HPO_epsilon,1,epsilon,0.05,1,0.05,0.35,0.81,200,33204.0,54,
HPO_epsilon,2,epsilon,0.05,2,0.05,0.35,0.81,200,33406.0,75,
HPO_epsilon,3,epsilon,0.05,3,0.05,0.35,0.81,200,33934.0,58,
HPO_epsilon,4,epsilon,0.05,4,0.05,0.35,0.81,200,35162.0,160,
HPO_epsilon,5,epsilon,0.05,5,0.05,0.35,0.81,200,33659.0,87,
HPO_epsilon,6,epsilon,0.25,1,0.25,0.35,0.81,200,33608.0,142,
HPO_epsilon,7,epsilon,0.25,2,0.25,0.35,0.81,200,36670.0,48,
HPO_epsilon,8,epsilon,0.25,3,0.25,0.35,0.81,200,37541.0,74,
HPO_epsilon,9,epsilon,0.25,4,0.25,0.35,0.81,200,35654.0,76,
HPO_epsilon,10,epsilon,0.25,5,0.25,0.35,0.81,200,36208.0,52,
HPO_epsilon,11,epsilon,0.45,1,0.45,0.35,0.81,200,38093.0,196,
HPO_epsilon,12,epsilon,0.45,2,0.45,0.35,0.81,200,38302.0,156,
HPO_epsilon,13,epsilon,0.45,3,0.45,0.35,0.81,200,39833.0,94,
HPO_epsilon,14,epsilon,0.45,4,0.45,0.35,0.81,200,37391.0,182,
HPO_epsilon,15,epsilon,0.45,5,0.45,0.35,0.81,200,37963.0,60,
HPO_epsilon,16,epsilon,0.65,1,0.65,0.35,0.81,200,40591.0,161,
HPO_epsilon,17,epsilon,0.65,2,0.65,0.35,0.81,200,40967.0,194,
HPO_epsilon,18,epsilon,0.65,3,0.65,0.35,0.81,200,40605.0,191,
HPO_epsilon,19,epsilon,0.65,4,0.65,0.35,0.81,200,40707.0,100,
HPO_epsilon,20,epsilon,0.65,5,0.65,0.35,0.81,200,43575.0,152,
HPO_epsilon,21,epsilon,0.85,1,0.85,0.35,0.81,200,45350.0,33,
